kross_id,nome,citta,indirizzo,ospiti_default,ospiti_min,ospiti_max,url_prenotazione,note_bot
1083,TRILO TIRRENO,San Teodoro,"Via del Tirreno 71, loc. La Cinta, San Teodoro",4,1,5,https://affittasardegna.it/?kross_accommodation=1083,
1095,VILLA ARMONIA,Loiri Porto San Paolo,"Via Don Luigi Sturzo 3 , Loiri Porto San Paolo",6,1,6,https://affittasardegna.it/?kross_accommodation=1095,
912,VILLA BREZZA D'ORIENTE,Stintino,"Via Gennargentu 35b, Punta de Su Turrione, Stintino",6,1,6,https://affittasardegna.it/?kross_accommodation=912,
832,VILLA GERANI,Cala Gonone,"Via Laconi Renzo, Cala Gonone",10,1,10,https://affittasardegna.it/?kross_accommodation=832,
1132,VILLA JASMINE,Trinità D'Agultu E Vignola,"Costa Paradiso , Trinità d'Agultu e Vignola",16,1,16,https://affittasardegna.it/?kross_accommodation=1132,
957,VILLA LA CANNA,San Teodoro,"Vico la Canna III, Suaredda-traversa SS, San Teodoro",6,1,6,https://affittasardegna.it/?kross_accommodation=957,
844,VILLA LA FATA,Stintino,"Via Ogliastra 73 - Punta di Su Torrione, Stintino",8,1,8,https://affittasardegna.it/?kross_accommodation=844,
1136,VILLA LA SCOGLIERA,Aglientu,"Costa Paradiso , Aglientu",6,1,6,https://affittasardegna.it/?kross_accommodation=1136,
1196,VILLA LA VELA,Stintino,"Via Bruncu Spina 46A, STINTINO",6,1,6,https://affittasardegna.it/?kross_accommodation=1196,
1089,VILLA LUMINOSA,Alghero,"Località Ungias n. 122, Alghero",4,1,4,https://affittasardegna.it/?kross_accommodation=1089,
860,VILLA MALV,Stintino,"Via Punta Barbarossa, 10, Stintino",6,1,6,https://affittasardegna.it/?kross_accommodation=860,
849,VILLA OLIVIA,Cala Gonone,"Via La Favorita, Cala Gonone",8,1,8,https://affittasardegna.it/?kross_accommodation=849,
252,VILLA PALMA (complex),Cala Gonone,"Via Picasso, Cala Gonone",8,1,8,https://affittasardegna.it/?kross_accommodation=252,
906,VILLA PALMA DEPANDANCE,Cala Gonone,"Via Picasso 12/14, Cala Gonone",2,1,4,https://affittasardegna.it/?kross_accommodation=906,
239,VILLA PALMASERA,Cala Gonone,"Via Lungomare Palmasera, Cala Gonone",12,1,12,https://affittasardegna.it/?kross_accommodation=239,
864,VILLA RUJU,Dorgali,"Via la Marmora, 238, Dorgali",12,1,12,https://affittasardegna.it/?kross_accommodation=864,
365,VILLA SOLEMARE,Cala Gonone,"Via Laconi Renzo, Cala Gonone",12,1,12,https://affittasardegna.it/?kross_accommodation=365,
1143,VILLETTA AGAVE,Badesi,"Località Pirotto Li Frati, BADESI",6,1,6,https://affittasardegna.it/?kross_accommodation=1143,
